Country,Non-NA Percentage
Trinidad and Tobago,83.3974358974359
Iraq,78.14102564102565
Iceland,77.33974358974358
Turkmenistan,76.6025641025641
Oman,74.2948717948718
Kuwait,74.19871794871796
Sri Lanka,71.63461538461539
Qatar,71.57051282051282
United Arab Emirates,69.58333333333334
Cyprus,69.07051282051282
Saudi Arabia,68.2943143812709
Singapore,67.53205128205128
South and Central America (EI),66.15384615384615
Europe (EI),66.15384615384615
OECD (EI),66.15384615384615
North America (EI),66.15384615384615
Non-OECD (EI),66.15384615384615
Asia Pacific (EI),66.12179487179488
Africa (EI),65.99358974358974
CIS (EI),65.5128205128205
Middle East (EI),63.14102564102565
Nigeria,54.13461538461538
Myanmar,53.23717948717949
Bolivia,52.69230769230769
Tunisia,52.69230769230769
Mongolia,52.69230769230769
Syria,52.14743589743591
Libya,52.14743589743591
Serbia,51.50641025641026
Gabon,51.24999999999999
Bahrain,51.24999999999999
Equatorial Guinea,51.24999999999999
Angola,51.24999999999999
Congo,51.05769230769231
Yemen,50.92948717948719
Brunei,50.705128205128226
Zimbabwe,50.70512820512821
Chad,50.57692307692307
Kyrgyzstan,50.50167224080268
Tajikistan,50.50167224080268
Albania,50.43478260869565
Low-income countries,50.416666666666664
Democratic Republic of Congo,50.35256410256411
Cuba,50.35256410256411
Georgia,50.032051282051285
Afghanistan,49.93311036789298
Cote d'Ivoire,49.93311036789298
Barbados,49.93311036789298
Jordan,49.899665551839476
Cameroon,49.73244147157191
Tanzania,49.73244147157191
Zambia,49.71153846153846
Niger,49.53177257525084
Ghana,49.4314381270903
Eastern Africa (EI),49.42307692307693
Laos,49.36454849498328
Nepal,49.36454849498328
Eswatini,49.36454849498328
Malawi,49.36454849498328
North Korea,49.36454849498328
Botswana,49.36454849498328
Senegal,49.36454849498328
Guatemala,49.36454849498328
Sudan,49.262820512820525
Madagascar,49.26282051282052
Mauritania,49.130434782608695
Benin,48.963210702341144
Papua New Guinea,48.910256410256416
Ethiopia,48.89632107023411
Dominican Republic,48.795986622073585
Sierra Leone,48.795986622073585
Burkina Faso,48.795986622073585
Haiti,48.795986622073585
Namibia,48.795986622073585
Seychelles,48.795986622073585
Uganda,48.795986622073585
Honduras,48.795986622073585
Burundi,48.795986622073585
Saint Lucia,48.795986622073585
Cape Verde,48.795986622073585
Nicaragua,48.795986622073585
Guinea-Bissau,48.795986622073585
Djibouti,48.795986622073585
Guinea,48.795986622073585
Dominica,48.795986622073585
Armenia,48.795986622073585
Rwanda,48.795986622073585
Cambodia,48.795986622073585
Central African Republic,48.795986622073585
Puerto Rico,48.795986622073585
Sao Tome and Principe,48.795986622073585
Togo,48.795986622073585
Mali,48.795986622073585
Liberia,48.795986622073585
Mauritius,48.795986622073585
Jamaica,48.795986622073585
Panama,48.795986622073585
Lesotho,48.795986622073585
Palestine,48.795986622073585
Gambia,48.795986622073585
Lebanon,48.795986622073585
Comoros,48.795986622073585
Mozambique,48.71794871794872
Moldova,48.42948717948718
Paraguay,48.397435897435905
El Salvador,48.397435897435905
Costa Rica,48.397435897435905
Kenya,48.397435897435905
Malta,48.397435897435905
Uruguay,48.397435897435905
Bhutan,47.85953177257525
Suriname,47.85953177257525
New Caledonia,47.820512820512825
East Timor,47.65384615384616
Belize,47.62541806020067
Tonga,47.290969899665555
Saint Vincent and the Grenadines,47.290969899665555
Cook Islands,47.290969899665555
Fiji,47.290969899665555
British Virgin Islands,47.290969899665555
Saint Helena,47.290969899665555
Saint Kitts and Nevis,47.290969899665555
French Polynesia,47.290969899665555
Saint Pierre and Miquelon,47.290969899665555
Samoa,47.290969899665555
Macao,47.290969899665555
Kiribati,47.290969899665555
Greenland,47.290969899665555
Grenada,47.290969899665555
Cayman Islands,47.290969899665555
Guam,47.290969899665555
Solomon Islands,47.290969899665555
Somalia,47.290969899665555
Falkland Islands,47.290969899665555
Faroe Islands,47.290969899665555
Montserrat,47.290969899665555
Aruba,47.290969899665555
Maldives,47.290969899665555
Bahamas,47.290969899665555
Vanuatu,47.290969899665555
Turks and Caicos Islands,47.290969899665555
Eritrea,47.290969899665555
Nauru,47.290969899665555
Bermuda,47.290969899665555
American Samoa,47.290969899665555
United States Virgin Islands,47.290969899665555
Antigua and Barbuda,47.290969899665555
Central America (EI),47.11538461538461
Guyana,46.570512820512825
Bosnia and Herzegovina,44.71153846153847
Western Africa (EI),44.455128205128204
Gibraltar,44.347826086956516
Middle Africa (EI),43.493589743589745
Kosovo,42.94871794871795
Guadeloupe,42.727272727272734
Montenegro,40.57692307692308
Martinique,38.14685314685315
Reunion,38.11188811188811
Niue,35.752508361204015
French Guiana,33.4965034965035
Western Sahara,27.937062937062933
South Sudan,26.378205128205128
Africa (Ember),24.615384615384617
Asia (Ember),24.615384615384617
ASEAN (Ember),24.615384615384617
North America (Ember),24.615384615384617
Middle East (Ember),24.615384615384617
G7 (Ember),24.615384615384617
Europe (Ember),24.615384615384617
Oceania (Ember),24.615384615384617
G20 (Ember),24.615384615384617
Latin America and Caribbean (Ember),24.615384615384617
OECD (Ember),24.615384615384617
Netherlands Antilles,12.762237762237763
Northern Mariana Islands,10.734265734265733
OPEC (Shift),8.461538461538462
Asia and Oceania (Shift),8.461538461538462
Africa (Shift),8.461538461538462
EU28 (Shift),8.461538461538462
North America (Shift),8.461538461538462
Eurasia (Shift),8.461538461538462
Europe (Shift),8.461538461538462
OECD (Shift),8.461538461538462
Persian Gulf (Shift),8.461538461538462
Central and South America (Shift),8.461538461538462
Middle East (Shift),8.461538461538462
Curacao,6.858974358974359
Wake Island (Shift),6.153846153846154
United States Territories (Shift),6.153846153846154
United States Pacific Islands (Shift),6.153846153846154
Micronesia (country),6.118881118881119
Serbia and Montenegro,5.384615384615385
Tuvalu,5.384615384615385
Antarctica,4.615384615384616
Eurasia (EIA),3.8461538461538463
Australia and New Zealand (EIA),3.8461538461538463
Persian Gulf (EIA),3.8461538461538463
Africa (EIA),3.8461538461538463
OPEC (EIA),3.8461538461538463
OPEC (EI),3.8461538461538463
OECD (EIA),3.8461538461538463
Non-OPEC (EIA),3.8461538461538463
Non-OPEC (EI),3.8461538461538463
Asia & Oceania (EIA),3.8461538461538463
Non-OECD (EIA),3.8461538461538463
Europe (EIA),3.8461538461538463
Middle East (EIA),3.8461538461538463
Central & South America (EIA),3.8461538461538463
Wake Island (EIA),3.8111888111888113
U.S. Pacific Islands (EIA),3.8111888111888113
U.S. Territories (EIA),3.076923076923077
