Country,Non-NA Percentage
Malawi,49.790209790209786
Eswatini,49.790209790209786
Botswana,49.790209790209786
North Korea,49.790209790209786
Mauritania,49.54545454545454
Benin,49.370629370629366
Ethiopia,49.3006993006993
Moldova,49.23076923076923
Puerto Rico,49.19580419580419
Rwanda,49.19580419580419
Saint Lucia,49.19580419580419
Paraguay,49.19580419580419
Sao Tome and Principe,49.19580419580419
Dominican Republic,49.19580419580419
El Salvador,49.19580419580419
Dominica,49.19580419580419
Seychelles,49.19580419580419
Sierra Leone,49.19580419580419
Djibouti,49.19580419580419
Palestine,49.19580419580419
Costa Rica,49.19580419580419
Comoros,49.19580419580419
Cape Verde,49.19580419580419
Cambodia,49.19580419580419
Burundi,49.19580419580419
Burkina Faso,49.19580419580419
Togo,49.19580419580419
Uganda,49.19580419580419
Uruguay,49.19580419580419
Armenia,49.19580419580419
Panama,49.19580419580419
Lebanon,49.19580419580419
Kenya,49.19580419580419
Guinea,49.19580419580419
Mali,49.19580419580419
Haiti,49.19580419580419
Mauritius,49.19580419580419
Honduras,49.19580419580419
Namibia,49.19580419580419
Nicaragua,49.19580419580419
Malta,49.19580419580419
Jamaica,49.19580419580419
Guinea-Bissau,49.19580419580419
Liberia,49.19580419580419
Lesotho,49.19580419580419
Gambia,49.19580419580419
Guyana,48.32167832167832
Suriname,48.251748251748246
Bhutan,48.251748251748246
East Timor,48.097165991902834
Belize,48.00699300699301
French Polynesia,47.65734265734265
Cook Islands,47.65734265734265
Cayman Islands,47.65734265734265
Vanuatu,47.65734265734265
Maldives,47.65734265734265
Macao,47.65734265734265
Somalia,47.65734265734265
British Virgin Islands,47.65734265734265
Turks and Caicos Islands,47.65734265734265
Bahamas,47.65734265734265
Bermuda,47.65734265734265
Tonga,47.65734265734265
United States Virgin Islands,47.65734265734265
Solomon Islands,47.65734265734265
Saint Pierre and Miquelon,47.65734265734265
Fiji,47.65734265734265
American Samoa,47.65734265734265
Faroe Islands,47.65734265734265
Falkland Islands,47.65734265734265
Eritrea,47.65734265734265
Greenland,47.65734265734265
Antigua and Barbuda,47.65734265734265
Saint Helena,47.65734265734265
Aruba,47.65734265734265
Grenada,47.65734265734265
Saint Kitts and Nevis,47.65734265734265
Saint Vincent and the Grenadines,47.65734265734265
Samoa,47.65734265734265
Nauru,47.65734265734265
Guam,47.65734265734265
Kiribati,47.65734265734265
Montserrat,47.65734265734265
Central America (EI),46.64335664335665
Bosnia and Herzegovina,45.38461538461539
Gibraltar,44.58041958041958
Kosovo,43.35664335664335
Guadeloupe,42.727272727272734
Montenegro,40.66433566433566
Martinique,38.14685314685315
Reunion,38.11188811188811
Niue,36.11888111888112
French Guiana,33.4965034965035
Western Sahara,27.937062937062933
South Sudan,26.293706293706293
Netherlands Antilles,12.762237762237763
Northern Mariana Islands,10.734265734265733
Curacao,6.846153846153847
Micronesia (country),6.118881118881119
Tuvalu,5.384615384615385
Serbia and Montenegro,5.384615384615385
